plus,keyword,city,companyShortName,positionName,approve,gradeDescription,industryField,companySize,positionAdvantage,companyLogo,education,salaryMax,businessZones,companyFullName,score,companyId,positionId,createTime,salaryAvg,salary,salaryMin,workYear,formatCreateTime,appShow,companyLabelList,financeStage,adWord,publisherId,lastLogin,district,imState,deliver,pcShow,jobNature
,,杭州,蓝移科技,销售顾问,0,,电子商务,50-150人,五险一金、带薪年假、,i/image/M00/01/26/Cgp3O1ZhMyGAHhOCAACRdfbLkJw445.jpg,大专,8,,杭州蓝移科技有限公司,0,108707,2364513,2016-09-13 18:00:14,6.5,5k-8k,5,1年以下,18:00发布,0,,初创型(天使轮),0,3398083,1473760348000,,disabled,0,0,全职
,,北京,亚信,测试工程师实习生（2017年毕业）,1,,"移动互联网,数据服务",2000人以上,办公氛围好，发展空间大，弹性工作,image1/M00/44/54/CgYXBlXVQ6aAGXrAAABY2xXSS8I163.png,本科,3,,亚信科技（中国）有限公司,0,25322,2116598,2016-09-13 18:00:12,2.5,2k-3k,2,应届毕业生,18:00发布,0,"年底双薪,技能培训,免费班车,带薪年假",成熟型(不需要融资),0,1555888,1473750622000,,disabled,0,0,实习
plus,companyLogo,salaryMin,salary,salaryAvg,district,deliver,industryField,companyFullName,score,lastLogin,positionAdvantage,companyShortName,education,financeStage,salaryMax,positionName,adWord,pcShow,positionId,workYear,companyLabelList,imState,keyword,createTime,businessZones,companyId,city,jobNature,publisherId,companySize,appShow,gradeDescription,approve,formatCreateTime
,i/image/M00/59/6C/CgqKkVfXysiAGxCyAACV-hIg8Zw514.jpg,7,7k-14k,10.5,,0,"移动互联网,硬件",大连轻轻科技有限公司,0,1473759349000,加班福利，通讯补助，周末双休，五险一金,黑科技实验室,大专,成长型(A轮),14,产品经理,0,0,2364614,应届毕业生,"年底双薪,交通补助,带薪年假,通讯津贴",disabled,,2016-09-13 18:11:48,,148153,深圳,全职,6113681,150-500人,0,,0,18:11发布
,images/logo_default.png,15,15k-20k,17.5,,0,"移动互联网,游戏",上海奇蔻投资管理有限公司,0,1473747793000,期权奖励,奇蔻网络,大专,初创型(未融资),20,视觉设计经理/主管,0,0,2364613,3-5年,"股票期权,专项奖金,带薪年假,年终分红",disabled,,2016-09-13 18:11:46,,30610,上海,全职,77782,50-150人,0,,0,18:11发布
,i/image/M00/4B/6C/CgqKkVefHv-AFoRzAAAuALF7ZZ0419.png,20,20k-30k,25.0,,0,"移动互联网,O2O",北京三快在线科技有限公司,0,1473755062000,帅哥美女多,美团点评,本科,成熟型(D轮及以上),30,用户/商户/品类运营经理-- 超市,0,0,2364612,1-3年,"技能培训,绩效奖金,岗位晋升,领导好",today,,2016-09-13 18:11:43,,50702,北京,全职,5280630,2000人以上,0,,1,18:11发布
,image1/M00/14/B2/CgYXBlUI7_iALkYVAABiY7ffnWU634.png,5,5k-10k,7.5,,0,"移动互联网,文化娱乐",北京天籽文修文化传播有限责任公司,0,1473756129000,"扁平化管理,弹性工作制,90后,创业",兼职卫士,本科,初创型(天使轮),10,产品运营,0,0,2364611,1-3年,"看重执行力,畅所欲言,要求独挡一面,创业期权",today,,2016-09-13 18:11:29,,28060,北京,全职,365111,15-50人,0,,0,18:11发布
,i/image/M00/16/52/Cgp3O1bvcX-Af4pKAAOCDQEWlrE772.jpg,8,8k-10k,9.0,,0,金融,北京海峰科技有限责任公司,0,1473760373000,优秀团队，专业培训，免费午餐，,海峰科技,本科,成长型(A轮),10,Java开发工程师,0,0,2364610,1-3年,"帅哥多,技能培训,美女多,领导好",overSevenDays,,2016-09-13 18:11:18,,118702,北京,全职,4177112,50-150人,0,,0,18:11发布
,i/image/M00/50/CD/CgqKkVe1LKSAby9YAAATVSLqxUI426.jpg,6,6k-8k,7.0,,0,金融,陕西巨丰投资资讯有限责任公司北京分公司,0,1473761162000,周末双休、带薪旅游、节假日、五险。,巨丰投资,大专,成长型(不需要融资),8,网络销售,0,0,2364609,不限,"技能培训,专项奖金,带薪年假,绩效奖金",today,,2016-09-13 18:11:13,,81108,北京,全职,2061022,150-500人,0,,1,18:11发布
,i/image/M00/54/5B/CgqKkVfDv_iAXSwhAABZjo3LJtc576.jpg,3,3k-4k,3.5,,0,其他,广州花镇教育咨询有限公司,0,1473754810000,"福利好,领导nic,晋升空间大",花镇,不限,初创型(未融资),4,售前咨询,0,0,2364608,不限,,disabled,,2016-09-13 18:11:04,,146106,广州,全职,6104452,500-2000人,0,,1,18:11发布
,i/image/M00/03/D0/Cgp3O1bD2pOAelQtAAAWNFmUyhU223.JPG,8,8k-15k,11.5,,0,"电子商务,医疗健康",上海百家益医疗器械有限公司,0,1473760697000,"工作环境好,福利待遇优,带薪年假",百家益,不限,初创型(未融资),15,Java,0,0,2364607,1-3年,,disabled,,2016-09-13 18:10:51,,114191,上海,全职,3867647,15-50人,0,,0,18:10发布
,i/image/M00/27/6D/Cgp3O1coGDyAQSXWAATPq56nWR4802.jpg,12,12k-15k,13.5,,0,"移动互联网,电子商务",上海玩都科技有限公司,0,1473750151000,"高薪,急聘,高福利,氛围好",玩都科技,大专,初创型(天使轮),15,活动策划,0,0,2364605,1-3年,"年底三薪,带薪年假,午餐补助,股票期权",today,,2016-09-13 18:10:23,,127739,上海,全职,4951840,15-50人,0,,0,18:10发布
,i/image/M00/38/A6/CgqKkVdjjEeASijSAAAGfk_XooQ970.jpg,4,4k-7k,5.5,静安区,0,广告营销,上海创思人潮文化传播有限责任公司,0,1473660265000,"团队多元化,小鲜肉帅哥",创思,本科,初创型(不需要融资),7,助理,0,0,2324229,不限,"带薪年假,绩效奖金,专项奖金,弹性工作",threeDays,,2016-09-13 18:10:22,"中山北路,中远两湾城,宜川路",134818,上海,全职,5375213,15-50人,0,,0,18:10发布
,i/image/M00/59/5D/Cgp3O1fXrcSADpFEAAAQm5orXN0719.jpg,3,3k-5k,4.0,,0,"移动互联网,其他",北京途安达国际经贸有限公司,0,1473760845000,人性化管理、时间灵活,途安达国际,不限,成长型(不需要融资),5,iOS软件测试,0,0,2364604,1年以下,,disabled,,2016-09-13 18:10:22,,117043,成都,兼职,6117853,150-500人,0,,0,18:10发布
,image1/M00/2E/C6/Cgo8PFV_o_WAS-2sAAA_cSN00Qw398.png?cc=0.25696354382671416,10,10k-20k,15.0,,0,"移动互联网,硬件",奇弩（北京）科技有限公司,0,1473757011000,"五险一金,地铁沿线,技术前沿,工程师文化",Vincross,本科,初创型(天使轮),20,资深软件研发工程师,0,0,2164435,3-5年,"股票期权,带薪年假,绩效奖金,领导好",today,,2016-09-13 18:09:57,,74794,北京,全职,4936788,15-50人,0,,1,18:09发布
,i/image/M00/41/75/Cgp3O1d8yACADmGKAAdUQGpGMFk136.png,9,9k-18k,13.5,,0,"移动互联网,企业服务",成都英孚凯尔信息技术有限公司,0,1473745452000,工资高 福利好 产品有前途 技术前沿 双休,易维帮助台,本科,初创型(天使轮),18,Java工程师,0,0,2184282,3-5年,"技术够前沿,产品有前途,工资高福利好,管理人性化",today,,2016-09-13 18:09:50,,17125,成都,全职,198637,50-150人,0,,1,18:09发布
,image1/M00/0E/60/Cgo8PFT6nR2AEMKgAACESBueViE807.png,3,3k-5k,4.0,番禺区,0,"移动互联网 ,O2O",广州九尾信息科技有限公司,0,1473746571000,五险一金+奖金+年假+优秀团队+晋升空间,兼职猫,大专,成长型(A轮),5,客服专员（企业业务服务方向）,0,0,2299340,1-3年,"绩效奖金,年终奖,五险一金,年度体检",today,,2016-09-13 18:09:50,大学城,6356,广州,全职,65574,150-500人,0,,1,18:09发布
,i/image/M00/0D/53/Cgp3O1bZAfaADgpuAAAPEj1sj2Q180.png,7,7k-12k,9.5,雨花台区,0,"移动互联网,电子商务",北京创景咨询有限公司,0,1473760515000,美资企业，全英语办公环境，发展空间大,创景咨询,本科,成长型(不需要融资),12,统计分析员（美资Ancestry）,0,0,2335860,不限,"年底双薪,绩效奖金,通讯津贴,定期体检",disabled,,2016-09-13 18:09:49,"铁心桥,小行,沙洲",22225,南京,全职,4510279,50-150人,0,,1,18:09发布
